home,away,kickOffTime,leagueName,odds_1,odds_x,odds_2
Sport Recife,Paysandu PA,2024-06-11 02:30:00,BRAZIL 2,1.53,3.75,5.9
Japan,Syria,2024-06-11 12:14:00,WC Qual.2026 Asia,1.09,8.25,19.0
South Korea,China,2024-06-11 13:00:00,WC Qual.2026 Asia,1.19,6.5,13.0
Australia,Palestine,2024-06-11 14:10:00,WC Qual.2026 Asia,1.23,5.2,12.0
Kenya,Ivory Coast,2024-06-11 15:00:00,WC Qual.2026 Africa,11.0,4.75,1.28
Madagascar,Mali,2024-06-11 15:00:00,WC Qual.2026 Africa,5.9,3.45,1.58
Azerbaijan,Kazakhstan,2024-06-11 16:00:00,WORLD Friendly International,2.25,3.05,3.1
PK-35,JaPS,2024-06-11 17:30:00,FINLAND 2,1.68,3.9,4.25
ES Setif,Paradou,2024-06-11 17:45:00,ALGERIA 1,1.75,3.2,4.9
Khenchela,Magra,2024-06-11 17:45:00,ALGERIA 1,1.65,3.65,4.65
Moldova,Ukraine,2024-06-11 18:00:00,WORLD Friendly International,5.5,4.2,1.5
San Marino,Cyprus,2024-06-11 18:00:00,WORLD Friendly International,13.0,5.35,1.21
Malta,Greece,2024-06-11 18:00:00,WORLD Friendly International,8.25,4.75,1.32
Rampla Jun.,Boston River,2024-06-11 20:00:00,URUGUAY 1,3.15,3.25,2.15
Portugal,R.Ireland,2024-06-11 20:45:00,WORLD Friendly International,1.25,5.6,8.75
Atletico GO,Corinthians,2024-06-12 00:00:00,BRAZIL 1,2.65,3.0,2.8
Juventude,Vitoria,2024-06-12 00:00:00,BRAZIL 1,2.0,3.2,3.9
Mirassol,Goias,2024-06-12 00:00:00,BRAZIL 2,2.12,3.0,3.3
Botafogo,Fluminense,2024-06-12 01:00:00,BRAZIL 1,2.1,3.3,3.45
Chile,Paraguay,2024-06-12 02:00:00,WORLD Friendly International,1.83,3.25,4.25
Bragantino,Atletico-MG,2024-06-12 02:30:00,BRAZIL 1,2.35,3.05,3.15
AC Oulu,FC Lahti,2024-06-12 17:00:00,FINLAND 1,1.68,3.8,4.45
Inter Turku,Ilves,2024-06-12 17:00:00,FINLAND 1,3.35,3.5,2.05
KuPS,Haka,2024-06-12 17:00:00,FINLAND 1,1.53,4.05,5.5
Mariehamn,VPS,2024-06-12 17:00:00,FINLAND 1,3.95,3.55,1.83
SJK,Ekenas,2024-06-12 17:00:00,FINLAND 1,1.38,4.85,7.2
Jaro,SJK Akatemia,2024-06-12 17:30:00,FINLAND 2,1.63,3.85,4.6
KTP,JIPPO,2024-06-12 17:30:00,FINLAND 2,1.63,4.1,4.65
Mikkeli,TPS,2024-06-12 17:30:00,FINLAND 2,5.1,3.95,1.6
SalPa,KaPa,2024-06-12 17:30:00,FINLAND 2,1.78,3.75,4.15
Gnistan,HJK Helsinki,2024-06-12 18:00:00,FINLAND 1,4.5,4.0,1.65
Stabaek,Mjondalen,2024-06-12 19:00:00,NORWAY 2,1.63,4.1,4.35
Gimnasia J.,Chacarita J.,2024-06-12 20:10:00,ARGENTINA 2,2.3,2.9,3.3
Eibar,Oviedo,2024-06-12 21:00:00,SPAIN 2 - Promotion,2.15,3.2,3.5
Godoy Cruz,Rosario Central,2024-06-12 22:00:00,ARGENTINA 1,2.12,3.05,3.7
Argentinos Jrs,C.Cordoba,2024-06-13 00:00:00,ARGENTINA 1,1.5,3.9,6.75
USA,Brazil,2024-06-13 01:00:00,WORLD Friendly International,5.2,4.15,1.53
Memphis,Rhode Island,2024-06-13 02:00:00,USA USL,1.63,3.55,4.7
Gimnasia L.P.,Barracas Central,2024-06-13 02:15:00,ARGENTINA 1,1.73,3.4,5.0
Independiente,Banfield,2024-06-13 02:15:00,ARGENTINA 1,2.15,2.95,3.75
Future FC,El Gouna,2024-06-13 18:00:00,EGYPT 1,1.9,3.1,4.05
Dep. Riestra,River Plate,2024-06-13 20:00:00,ARGENTINA 1,9.0,4.3,1.38
Bohemians,Derry City,2024-06-13 20:45:00,IRELAND 1,3.85,3.25,1.95
Dundalk,Sligo Rovers,2024-06-13 20:45:00,IRELAND 1,1.95,3.25,3.8
Galway,Drogheda,2024-06-13 20:45:00,IRELAND 1,1.7,3.4,5.0
St. Patricks,Shamrock,2024-06-13 20:45:00,IRELAND 1,3.9,3.5,1.85
Waterford,Shelbourne,2024-06-13 20:45:00,IRELAND 1,3.25,3.0,2.3
Bray W.,Athlone,2024-06-13 20:45:00,IRELAND 2,2.15,3.25,3.2
Cork City,Cobh R.,2024-06-13 20:45:00,IRELAND 2,1.4,4.0,7.6
Finn Harps,UC Dublin,2024-06-13 20:45:00,IRELAND 2,2.8,3.05,2.5
Kerry,Longford,2024-06-13 20:45:00,IRELAND 2,2.38,3.15,2.85
Wexford FC,Treaty Utd,2024-06-13 20:45:00,IRELAND 2,1.78,3.4,4.3
Sarmiento Junin,Estudiantes L.P.,2024-06-14 00:00:00,ARGENTINA 1,4.25,3.05,1.95
Tigre,Belgrano,2024-06-14 00:00:00,ARGENTINA 1,2.65,3.05,2.7
Cruzeiro,Cuiaba,2024-06-14 00:00:00,BRAZIL 1,1.6,3.55,6.0
Atletico-PR,Criciuma,2024-06-14 01:00:00,BRAZIL 1,1.53,3.8,6.4
Flamengo RJ,Gremio,2024-06-14 01:00:00,BRAZIL 1,1.48,4.2,6.5
Internacional,Sao Paulo,2024-06-14 01:00:00,BRAZIL 1,2.8,3.0,2.6
Lanus,Racing Club,2024-06-14 02:15:00,ARGENTINA 1,3.15,3.1,2.3
Newells Old Boys,Instituto,2024-06-14 02:15:00,ARGENTINA 1,2.15,3.0,3.7
Bahia,Fortaleza,2024-06-14 02:30:00,BRAZIL 1,1.98,3.3,3.8
Palmeiras,Vasco,2024-06-14 02:30:00,BRAZIL 1,1.4,4.35,7.6
Meizhou Hakka,Shandong T.,2024-06-14 13:35:00,CHINA 1,6.25,4.2,1.45
Nantong Zhiyun,Shenzhen Xinp.,2024-06-14 14:00:00,CHINA 1,2.5,3.25,2.6
Tianjin JT,Shanghai Port,2024-06-14 14:00:00,CHINA 1,6.4,4.7,1.38
Ceramica Cleopatra,Zamalek,2024-06-14 18:00:00,EGYPT 1,3.25,3.2,2.12
Pharco,Al Ahly Cairo,2024-06-14 18:00:00,EGYPT 1,6.3,3.9,1.48
Orgryte,Sundsvall,2024-06-14 19:00:00,SWEDEN 2,1.85,3.65,3.65
Germany,Scotland,2024-06-14 21:00:00,Euro 2024,1.3,5.3,11.0
Boca Juniors,Velez Sarsfield,2024-06-15 00:00:00,ARGENTINA 1,2.12,3.05,3.65
Talleres Cordoba,Platense,2024-06-15 00:00:00,ARGENTINA 1,1.75,3.25,5.1
NY City,Columbus,2024-06-15 01:30:00,USA MLS,2.12,3.45,3.15
Valour,Pacific FC,2024-06-15 02:00:00,CANADA 1,2.75,3.15,2.35
Yokohama F-M.,Machida,2024-06-15 09:00:00,JAPAN 1,2.6,3.55,2.4
Fujieda MYFC,Yokohama,2024-06-15 11:00:00,JAPAN 2,4.65,3.5,1.7
Pohang S.,Daejeon,2024-06-15 11:00:00,SOUTH KOREA 1,1.78,3.4,4.25
Hiroshima,Verdy,2024-06-15 11:30:00,JAPAN 1,1.55,4.0,5.35
Cerezo Osaka,Urawa,2024-06-15 12:00:00,JAPAN 1,2.65,3.2,2.55
Kyoto,Sapporo,2024-06-15 12:00:00,JAPAN 1,2.38,3.3,2.8
Kagoshima Utd,Yamagata,2024-06-15 12:00:00,JAPAN 2,2.7,3.2,2.45
Gwangju,Gimcheon Sangmu,2024-06-15 12:00:00,SOUTH KOREA 1,2.2,3.15,3.1
Gyeongnam,Suwon BW,2024-06-15 12:00:00,SOUTH KOREA 2,3.3,3.15,2.15
Jeonnam D,Bucheon FC 1995,2024-06-15 12:00:00,SOUTH KOREA 2,2.25,3.05,3.15
Seongnam FC,Anyang,2024-06-15 12:30:00,SOUTH KOREA 2,2.7,3.05,2.55
Gangwon,Suwon FC,2024-06-15 13:00:00,SOUTH KOREA 1,2.2,3.35,3.0
Zhejiang,Changchun Y.,2024-06-15 13:35:00,CHINA 1,1.42,4.5,5.9
Henan,Beijing Guoan,2024-06-15 14:00:00,CHINA 1,3.05,3.5,2.1
Hungary,Switzerland,2024-06-15 15:00:00,Euro 2024,3.5,3.2,2.2
Gefle,Landskrona,2024-06-15 15:00:00,SWEDEN 2,3.1,3.35,2.12
Skovde AIK,Degerfors,2024-06-15 15:00:00,SWEDEN 2,3.9,3.5,1.83
Utsikten,Varbergs,2024-06-15 15:00:00,SWEDEN 2,1.85,3.45,3.8
Spain,Croatia,2024-06-15 18:00:00,Euro 2024,1.9,3.45,4.2
Atl. Ottawa,York Utd,2024-06-15 19:00:00,CANADA 1,1.65,3.8,4.05
Italy,Albania,2024-06-15 21:00:00,Euro 2024,1.4,4.4,9.5
Union Santa Fe,San Lorenzo,2024-06-15 21:00:00,ARGENTINA 1,2.25,2.8,3.6
HFX Wanderers,Forge,2024-06-15 22:00:00,CANADA 1,2.6,3.2,2.4
Huracan,Ind. Rivadavia,2024-06-15 23:00:00,ARGENTINA 1,1.6,3.6,5.8
Bragantino,Juventude,2024-06-15 23:30:00,BRAZIL 1,1.55,3.7,6.5
Atl. Tucuman,Defensa y Justicia,2024-06-16 01:30:00,ARGENTINA 1,2.15,3.1,3.6
Atlanta,Houston,2024-06-16 01:30:00,USA MLS,2.1,3.55,3.15
Charlotte,DC United,2024-06-16 01:30:00,USA MLS,2.05,3.45,3.3
Montreal,Salt Lake,2024-06-16 01:30:00,USA MLS,3.1,3.65,2.05
New England,Vancouver,2024-06-16 01:30:00,USA MLS,2.4,3.55,2.6
New York RB,Nashville SC,2024-06-16 01:30:00,USA MLS,1.7,3.5,4.9
Orlando City,Los Angeles FC.,2024-06-16 01:30:00,USA MLS,2.5,3.4,2.6
Philadelphia,Inter Miami,2024-06-16 01:30:00,USA MLS,2.05,3.75,3.1
Toronto,Chicago,2024-06-16 01:30:00,USA MLS,1.83,3.65,3.85
Fluminense,Atletico GO,2024-06-16 02:00:00,BRAZIL 1,1.55,4.1,5.35
Dallas,St. Louis City,2024-06-16 02:30:00,USA MLS,2.2,3.35,3.0
Colorado,Austin FC,2024-06-16 03:30:00,USA MLS,1.68,4.05,4.2
LA Galaxy,Kansas City,2024-06-16 04:30:00,USA MLS,1.68,4.1,4.2
San Jose,Cincinnati,2024-06-16 04:30:00,USA MLS,2.65,3.55,2.4
Seattle,Minnesota,2024-06-16 04:30:00,USA MLS,1.7,3.75,4.4
Kobe,Kawasaki Frontale,2024-06-16 07:00:00,JAPAN 1,1.85,3.45,3.95
A.Fukuoka,Sagan Tosu,2024-06-16 08:30:00,JAPAN 1,1.95,3.3,3.75
Iwaki,Kofu,2024-06-16 09:00:00,JAPAN 2,2.12,3.3,3.15
Mito,Blaublitz,2024-06-16 10:00:00,JAPAN 2,2.55,2.95,2.8
FC Tokyo,Iwata,2024-06-16 11:00:00,JAPAN 1,2.12,3.25,3.35
Gamba Osaka,Kashiwa R.,2024-06-16 11:00:00,JAPAN 1,2.25,3.2,3.15
Kashima,Albirex Niigata,2024-06-16 11:00:00,JAPAN 1,1.88,3.5,3.85
Nagoya,Shonan,2024-06-16 11:00:00,JAPAN 1,2.05,3.2,3.55
Ehime,Shimizu,2024-06-16 11:00:00,JAPAN 2,5.4,4.25,1.5
Kumamoto,Okayama,2024-06-16 11:00:00,JAPAN 2,2.7,3.1,2.5
Oita,Tochigi,2024-06-16 11:00:00,JAPAN 2,1.95,3.25,3.75
Vegalta Sendai,V.Nagasaki,2024-06-16 11:00:00,JAPAN 2,2.6,3.2,2.55
Jeonbuk,Incheon,2024-06-16 11:00:00,SOUTH KOREA 1,2.2,3.2,3.15
Ulsan Hyundai,Seoul,2024-06-16 11:00:00,SOUTH KOREA 1,1.78,3.5,4.1
Kusatsu,Yamaguchi,2024-06-16 11:30:00,JAPAN 2,3.65,3.05,2.05
Chiba,Tokushima,2024-06-16 12:00:00,JAPAN 2,1.7,3.55,4.55
Daegu,Jeju Utd,2024-06-16 12:00:00,SOUTH KOREA 1,2.15,3.15,3.3
Asan,Busan,2024-06-16 12:00:00,SOUTH KOREA 2,3.0,3.1,2.3
Cheongju,Cheonan City,2024-06-16 12:00:00,SOUTH KOREA 2,2.15,3.0,3.45
Gimpo FC,Ansan Greeners,2024-06-16 12:00:00,SOUTH KOREA 2,2.1,3.1,3.45
Cangzhou,Qingdao Hainiu,2024-06-16 13:00:00,CHINA 1,2.45,3.45,2.55
Shan.Shenhua,Chengdu,2024-06-16 13:35:00,CHINA 1,1.93,3.45,3.6
Qingdao W.C.,Wuhan Three T.,2024-06-16 14:00:00,CHINA 1,3.5,3.5,1.93
Poland,Netherlands,2024-06-16 15:00:00,Euro 2024,5.1,3.7,1.7
Helsingborg,Orebro,2024-06-16 15:00:00,SWEDEN 2,2.05,3.25,3.4
Oster,Ostersunds,2024-06-16 15:00:00,SWEDEN 2,1.5,4.1,5.45
Sandvikens IF,Oddevold,2024-06-16 17:00:00,SWEDEN 2,2.1,3.2,3.35
Slovenia,Denmark,2024-06-16 18:00:00,Euro 2024,5.2,3.35,1.78
Serbia,England,2024-06-16 21:00:00,Euro 2024,7.5,4.3,1.5
Atletico-PR,Flamengo RJ,2024-06-16 21:00:00,BRAZIL 1,2.35,3.3,2.95
Corinthians,Sao Paulo,2024-06-16 21:00:00,BRAZIL 1,2.7,3.05,2.7
Vitoria,Internacional,2024-06-16 21:00:00,BRAZIL 1,3.45,3.05,2.2
Vancouver FC,Cavalry,2024-06-16 23:00:00,CANADA 1,2.1,3.2,3.15
Criciuma,Bahia,2024-06-16 23:30:00,BRAZIL 1,2.8,3.1,2.55
Cuiaba,Fortaleza,2024-06-16 23:30:00,BRAZIL 1,2.65,3.1,2.7
Gremio,Botafogo,2024-06-16 23:30:00,BRAZIL 1,2.3,3.1,3.25
Vasco,Cruzeiro,2024-06-16 23:30:00,BRAZIL 1,2.2,3.15,3.4
Romania,Ukraine,2024-06-17 15:00:00,Euro 2024,3.75,3.25,2.1
Belgium,Slovakia,2024-06-17 18:00:00,Euro 2024,1.5,4.25,6.75
Trelleborgs,Brage,2024-06-17 19:00:00,SWEDEN 2,2.95,3.25,2.25
Austria,France,2024-06-17 21:00:00,Euro 2024,6.6,4.5,1.5
Atletico-MG,Palmeiras,2024-06-18 02:30:00,BRAZIL 1,2.25,3.1,3.25
Turkey,Georgia,2024-06-18 18:00:00,Euro 2024,1.8,3.4,4.95
Portugal,Czech Rep.,2024-06-18 21:00:00,Euro 2024,1.55,4.2,6.1
Croatia,Albania,2024-06-19 15:00:00,Euro 2024,1.53,4.05,6.6
Germany,Hungary,2024-06-19 18:00:00,Euro 2024,1.38,4.6,8.75
Scotland,Switzerland,2024-06-19 21:00:00,Euro 2024,3.75,3.35,2.1
Slovenia,Serbia,2024-06-20 15:00:00,Euro 2024,4.25,3.35,1.93
Denmark,England,2024-06-20 18:00:00,Euro 2024,5.6,3.7,1.68
Spain,Italy,2024-06-20 21:00:00,Euro 2024,2.25,3.25,3.35
Argentina,Canada,2024-06-21 02:00:00,COPA AMERICA 2024,1.35,4.65,7.8
Slovakia,Ukraine,2024-06-21 15:00:00,Euro 2024,3.75,3.25,2.1
Poland,Austria,2024-06-21 18:00:00,Euro 2024,3.5,3.4,2.15
Netherlands,France,2024-06-21 21:00:00,Euro 2024,4.0,3.55,1.93
Peru,Chile,2024-06-22 02:00:00,COPA AMERICA 2024,3.7,3.15,2.05
Georgia,Czech Rep.,2024-06-22 15:00:00,Euro 2024,4.8,3.45,1.8
Turkey,Portugal,2024-06-22 18:00:00,Euro 2024,5.45,3.9,1.63
Belgium,Romania,2024-06-22 21:00:00,Euro 2024,1.53,4.15,6.5
Ecuador,Venezuela,2024-06-23 00:00:00,COPA AMERICA 2024,1.85,3.25,4.35
Mexico,Jamaica,2024-06-23 03:00:00,COPA AMERICA 2024,1.58,3.7,5.8
Scotland,Hungary,2024-06-23 21:00:00,Euro 2024,2.8,3.35,2.5
Switzerland,Germany,2024-06-23 21:00:00,Euro 2024,4.8,3.6,1.75
USA,Bolivia,2024-06-24 00:00:00,COPA AMERICA 2024,1.21,5.7,13.0
Uruguay,Panama,2024-06-24 03:00:00,COPA AMERICA 2024,1.33,4.65,9.0
Albania,Spain,2024-06-24 21:00:00,Euro 2024,11.0,5.1,1.3
Croatia,Italy,2024-06-24 21:00:00,Euro 2024,3.95,3.4,1.95
Colombia,Paraguay,2024-06-25 00:00:00,COPA AMERICA 2024,1.7,3.4,5.1
Brazil,Costa Rica,2024-06-25 03:00:00,COPA AMERICA 2024,1.15,6.75,16.0
France,Poland,2024-06-25 18:00:00,Euro 2024,1.38,4.7,8.25
Netherlands,Austria,2024-06-25 18:00:00,Euro 2024,2.15,3.5,3.25
Denmark,Serbia,2024-06-25 21:00:00,Euro 2024,2.45,3.25,2.95
England,Slovenia,2024-06-25 21:00:00,Euro 2024,1.35,4.8,9.25
Peru,Canada,2024-06-26 00:00:00,COPA AMERICA 2024,2.7,3.15,2.6
Chile,Argentina,2024-06-26 03:00:00,COPA AMERICA 2024,5.1,3.3,1.73
Slovakia,Romania,2024-06-26 18:00:00,Euro 2024,2.6,3.15,2.85
Ukraine,Belgium,2024-06-26 18:00:00,Euro 2024,4.75,3.65,1.75
Czech Rep.,Turkey,2024-06-26 21:00:00,Euro 2024,3.1,3.25,2.35
Georgia,Portugal,2024-06-26 21:00:00,Euro 2024,9.5,5.35,1.3
Ecuador,Jamaica,2024-06-27 00:00:00,COPA AMERICA 2024,1.7,3.35,5.2
Venezuela,Mexico,2024-06-27 03:00:00,COPA AMERICA 2024,3.95,3.25,1.93
Panama,USA,2024-06-28 00:00:00,COPA AMERICA 2024,6.7,4.0,1.48
Uruguay,Bolivia,2024-06-28 03:00:00,COPA AMERICA 2024,1.19,6.1,13.0
Colombia,Costa Rica,2024-06-29 00:00:00,COPA AMERICA 2024,1.5,3.8,6.5
Paraguay,Brazil,2024-06-29 03:00:00,COPA AMERICA 2024,7.8,4.4,1.38
