home,away,kickOffTime,leagueName,odds_1,odds_x,odds_2
Australia,Palestine,2024-06-11 14:10:00,Kvalifikacije SP 2026 Azija,1.24,5.65,12.8
Kenya,Ivory Coast,2024-06-11 15:00:00,Kvalifikacije SP 2026 Afrika,12.5,5,1.28
Azerbaijan,Kazakhstan,2024-06-11 16:00:00,Prijateljski mečevi,2.3,3.2,3.2
PK-35,JaPS,2024-06-11 17:30:00,Finska 2,1.67,3.85,4.4
San Marino,Cyprus,2024-06-11 18:00:00,Prijateljski mečevi,12.6,5.9,1.23
Malta,Greece,2024-06-11 18:00:00,Prijateljski mečevi,8.2,4.85,1.35
Moldova,Ukraine,2024-06-11 18:00:00,Prijateljski mečevi,6,4.4,1.5
Rampla Juniors,Boston River,2024-06-11 20:00:00,Urugvaj 1 Intermedio,2.95,3.45,2.2
Portugal,Ireland,2024-06-11 20:45:00,Prijateljski mečevi,1.3,5.5,9.1
Atletico GO,Corinthians,2024-06-12 00:00:00,Brazil 1,2.65,3.05,2.85
Juventude,Vitoria,2024-06-12 00:00:00,Brazil 1,2,3.25,4
Mirassol,Goias,2024-06-12 00:00:00,Brazil 2,2.15,3,3.45
